C1_V5,C1,"2019-04-05 14:17:35+08",p_x,p_x,"2019-04-05 14:17:40+08",p_r_14,p_r,Absent
C4_V8,C4,"2019-04-05 14:21:59+08",p_x,p_x,"2019-04-05 14:22:00+08",p_r_15,p_r,Absent
C1_V18,C1,"2019-04-05 14:42:43+08",p_x,p_x,"2019-04-05 14:42:46+08",p_r_31,p_r,Absent
C1_V18,C1,"2019-04-05 14:42:48+08",p_x,p_x,"2019-04-05 14:42:49+08",p_r_31,p_r,Normal
C1_V19,C1,"2019-04-05 19:08:31+08",p_x,p_x,"2019-04-05 19:08:33+08",p_r_31,p_r,Absent
C3_V7,C3,"2019-04-05 19:36:38+08",p_r_t_c,p_r,"2019-04-05 19:36:41+08",p_r_t_c,p_r,Absent
C4_V4,C4,"2019-04-05 21:42:46+08",p_r_t_c,p_r,"2019-04-05 21:52:51+08",p_r_t_c,p_r,Normal
C4_V10,C4,"2019-04-05 15:01:29+08",p_d,p_s_a,"2019-04-05 15:01:47+08",p_r_23,p_r,Speeding
C5_V1,C5,"2019-04-05 15:08:39+08",p_d,p_s_a,"2019-04-05 15:08:55+08",p_r_23,p_r,Speeding
C1_V23,C1,"2019-04-05 00:34:45+08",p_t_b_a,p_t_b_a,"2019-04-05 00:36:42+08",p_t_b,p_t_b,Queueing
C5_V1,C5,"2019-04-05 15:18:39+08",p_x,p_x,"2019-04-05 15:18:40+08",p_r_31,p_r,Absent
C2_V14,C2,"2019-04-05 00:41:28+08",p_t_b_a,p_t_b_a,"2019-04-05 00:42:43+08",p_t_b,p_t_b,Queueing
C1_V5,C1,"2019-04-05 19:19:32+08",p_t_b_a,p_t_b_a,"2019-04-05 19:19:35+08",p_t_b_a,p_t_b_a,Absent
C1_V23,C1,"2019-04-05 00:36:42+08",p_t_b,p_t_b,"2019-04-05 00:36:45+08",p_h1_a,p_h_a,Queueing
C2_V12,C2,"2019-04-05 00:29:46+08",p_t_b,p_t_b,"2019-04-05 00:30:51+08",p_h1_a,p_h_a,Queueing
C2_V14,C2,"2019-04-05 14:04:39+08",p_t_b,p_t_b,"2019-04-05 14:04:49+08",p_h1_a,p_h_a,Normal
C4_V7,C4,"2019-04-05 14:56:19+08",p_t_c,p_t_c,"2019-04-05 14:57:30+08",p_r_1,p_r,Normal
C1_V15,C1,"2019-04-05 00:02:59+08",p_t_a_d,p_t_a_d,"2019-04-05 00:03:49+08",p_t_b_a,p_t_b_a,Queueing
C1_V15,C1,"2019-04-05 00:03:49+08",p_t_b_a,p_t_b_a,"2019-04-05 00:06:59+08",p_h1_a,p_h_a,Queueing
C2_V12,C2,"2019-04-05 00:28:18+08",p_t_a_d,p_t_a_d,"2019-04-05 00:28:54+08",p_t_b_a,p_t_b_a,Queueing
C5_V1,C5,"2019-04-05 15:18:44+08",p_x,p_x,"2019-04-05 15:18:46+08",p_r_31,p_r,Absent
C5_V1,C5,"2019-04-05 15:18:49+08",p_x,p_x,"2019-04-05 15:18:52+08",p_r_31,p_r,Absent
C4_V8,C4,"2019-04-05 15:30:50+08",p_x,p_x,"2019-04-05 15:30:51+08",p_r_31,p_r,Absent
C2_V1,C2,"2019-04-05 15:38:06+08",p_r_55,p_r,"2019-04-05 15:38:47+08",p_r_54,p_r,Normal
C1_V15,C1,"2019-04-05 00:06:59+08",p_h1_a,p_h_a,"2019-04-05 00:15:52+08",p_h1,p_h,Queueing
C2_V12,C2,"2019-04-05 00:30:51+08",p_h1_a,p_h_a,"2019-04-05 00:39:18+08",p_h1,p_h,Queueing
C1_V10,C1,"2019-04-05 21:18:14+08",p_r_23,p_r,"2019-04-05 21:27:19+08",p_x,p_x,Normal
C1_V11,C1,"2019-04-05 21:19:50+08",p_r_23,p_r,"2019-04-05 21:29:26+08",p_x,p_x,Normal
C1_V17,C1,"2019-04-05 21:15:19+08",p_r_23,p_r,"2019-04-05 21:23:19+08",p_x,p_x,Normal
C1_V11,C1,"2019-04-05 21:13:00+08",p_r_17,p_r,"2019-04-05 21:14:12+08",p_x,p_x,Normal
C1_V17,C1,"2019-04-05 21:23:47+08",p_r_18,p_r,"2019-04-05 21:29:43+08",p_x,p_x,Normal
C1_V17,C1,"2019-04-05 20:48:46+08",p_r_42,p_r,"2019-04-05 20:55:41+08",p_x,p_x,Normal
C2_V7,C2,"2019-04-05 14:04:40+08",p_r_24,p_r,"2019-04-05 14:12:28+08",p_x,p_x,Normal
C1_V25,C1,"2019-04-05 20:19:13+08",p_r_73,p_r,"2019-04-05 20:19:21+08",p_x,p_x,Normal
C1_V22,C1,"2019-04-05 21:11:52+08",p_r_73,p_r,"2019-04-05 21:23:50+08",p_x,p_x,Normal
C1_V2,C1,"2019-04-05 21:38:22+08",p_r_17,p_r,"2019-04-05 21:39:36+08",p_x,p_x,Normal
C1_V10,C1,"2019-04-05 21:27:49+08",p_r_18,p_r,"2019-04-05 21:33:07+08",p_x,p_x,Normal
C1_V19,C1,"2019-04-05 20:57:47+08",p_r_55,p_r,"2019-04-05 21:24:31+08",p_x,p_x,Normal
C1_V22,C1,"2019-04-05 21:41:43+08",p_r_55,p_r,"2019-04-05 22:09:25+08",p_x,p_x,Normal
C4_V8,C4,"2019-04-05 15:30:54+08",p_x,p_x,"2019-04-05 15:30:56+08",p_r_31,p_r,Absent
C2_V1,C2,"2019-04-05 15:37:29+08",p_s1_a,p_s_a,"2019-04-05 15:38:06+08",p_r_55,p_r,Normal
C2_V4,C2,"2019-04-05 00:30:26+08",p_s1_a,p_s_a,"2019-04-05 00:33:32+08",p_s1,p_s,Queueing
C1_V14,C1,"2019-04-05 00:20:57+08",p_s1_a,p_s_a,"2019-04-05 00:24:37+08",p_s1,p_s,Queueing
C1_V18,C1,"2019-04-05 00:26:07+08",p_s1_a,p_s_a,"2019-04-05 00:27:30+08",p_s1,p_s,Queueing
C1_V20,C1,"2019-04-05 00:31:41+08",p_s1_a,p_s_a,"2019-04-05 00:44:24+08",p_s1,p_s,Queueing
C4_V8,C4,"2019-04-05 14:52:56+08",p_x,p_x,"2019-04-05 14:53:02+08",p_r_t_c,p_r,Absent
C1_V10,C1,"2019-04-05 00:09:26+08",p_h1,p_h,"2019-04-05 00:09:47+08",p_r_t_c,p_r,Queueing
C2_V12,C2,"2019-04-05 00:39:18+08",p_h1,p_h,"2019-04-05 00:39:37+08",p_r_t_c,p_r,Queueing
C1_V1,C1,"2019-04-05 23:11:52+08",p_h1,p_h,"2019-04-05 23:12:10+08",p_r_t_c,p_r,Normal
C2_V12,C2,"2019-04-05 20:11:52+08",p_h1,p_h,"2019-04-05 20:14:23+08",p_r_t_c,p_r,Normal
C2_V5,C2,"2019-04-05 19:53:25+08",p_h1,p_h,"2019-04-05 19:57:12+08",p_r_t_c,p_r,Normal
C1_V2,C1,"2019-04-05 21:16:23+08",p_h1,p_h,"2019-04-05 21:16:40+08",p_r_t_c,p_r,Normal
C4_V6,C4,"2019-04-05 14:27:26+08",p_h2_a,p_h_a,"2019-04-05 14:27:35+08",p_r_t_c,p_r,Normal
C1_V8,C1,"2019-04-05 00:11:31+08",p_x,p_x,"2019-04-05 00:11:32+08",p_r_22,p_r,Absent
